Nombre del Audio,Frecuencia de Corte Óptima
G46_20180628_173000.wav,6306.792418924929
G46_20180628_061500.wav,5927.473893624291
G46_20180703_225600.wav,5864.362331275861
G46_20180626_133600.wav,5887.488084242876
G46_20180702_080000.wav,5672.91547896175
G46_20180704_001600.wav,5980.239184586002
G46_20180628_003200.wav,5116.679996552683
G46_20180702_174500.wav,5196.071010539041
G46_20180703_070000.wav,5832.669793194021
G46_20180627_124800.wav,5696.155870919091
G46_20180627_133600.wav,5027.433940063164
G46_20180628_074500.wav,6403.829433020466
G46_20180702_121600.wav,5722.383906034271
G46_20180628_133600.wav,5963.742588451361
G46_20180702_152800.wav,6653.57786154808
G46_20180627_003200.wav,4721.414540935982
G46_20180703_171500.wav,6025.630827542267
G46_20180629_061500.wav,6171.8069383165775
G46_20180702_183000.wav,5766.452704260277
G46_20180701_215200.wav,5573.386826343038
