Nombre del Audio,Frecuencia de Corte Óptima
G23_20180603_013600.wav,5734.4274906042965
G23_20180529_212000.wav,6091.283428060088
G23_20180531_174500.wav,5242.727191798583
G23_20180530_161600.wav,5208.649287165454
G23_20180601_044800.wav,5873.005374305528
G23_20180530_184500.wav,5549.368198557813
G23_20180531_001600.wav,5577.4606328157415
G23_20180601_124800.wav,5385.846588410859
G23_20180604_123200.wav,5600.987115353117
G23_20180602_034400.wav,4350.016590304303
G23_20180531_184500.wav,5215.7409562195735
G23_20180531_232800.wav,5917.460357985035
G23_20180530_163200.wav,5215.358495116495
G23_20180603_084800.wav,5002.810877225121
G23_20180603_200000.wav,5818.891280546585
G23_20180601_083200.wav,5145.497296477001
G23_20180531_080000.wav,5414.968466507097
G23_20180601_034400.wav,5628.20922520259
G23_20180601_092000.wav,5234.716129485339
G23_20180602_220800.wav,5628.541525693004
