Nombre del Audio,Frecuencia de Corte Óptima
G35_20180609_204800.wav,5366.039421524399
G35_20180610_133600.wav,5163.5897295411505
G35_20180605_183000.wav,5658.942396401053
G35_20180605_104000.wav,5461.378625004474
G35_20180605_034400.wav,6013.250562910104
G35_20180610_044800.wav,5746.61086563655
G35_20180607_144000.wav,5326.1439307913515
G35_20180608_171500.wav,5230.399360742406
G35_20180607_154400.wav,5342.643229091717
G35_20180606_111200.wav,5432.168698934856
G35_20180607_063000.wav,6516.26197252022
G35_20180605_123200.wav,5437.488419062511
G35_20180608_140800.wav,5152.895049962193
G35_20180606_080000.wav,5597.587795591561
G35_20180607_040000.wav,6127.702107861983
G35_20180609_043200.wav,5969.415015139419
G35_20180605_163200.wav,5367.096638021765
G35_20180607_133600.wav,5318.366052186146
G35_20180606_130400.wav,5425.372507395877
G35_20180606_154400.wav,5340.224368840808
