Nombre del Audio,Frecuencia de Corte Óptima
G09_20180523_093600.wav,6286.215281877726
G09_20180523_040000.wav,5754.067200504864
G09_20180521_053000.wav,5663.944833120239
G09_20180527_142400.wav,6236.061665306458
G09_20180521_083200.wav,5671.871429814557
G09_20180521_164800.wav,5745.11071334544
G09_20180520_183000.wav,6084.425916389304
G09_20180520_161600.wav,5777.444957720442
G09_20180526_104000.wav,5768.736709029292
G09_20180523_001600.wav,5475.6630952769765
G09_20180527_060000.wav,6154.558482392166
G09_20180522_184500.wav,5936.84137871296
G09_20180521_043200.wav,5880.0837003033175
G09_20180519_064500.wav,5488.359048014653
G09_20180521_000000.wav,5678.095744917734
G09_20180522_084800.wav,5801.492131758796
G09_20180527_193000.wav,5708.361122615926
G09_20180519_215200.wav,5707.613875202913
G09_20180527_083200.wav,5780.6892385084875
G09_20180525_114400.wav,6115.392800289807
