Nombre del Audio,Frecuencia de Corte Óptima
G52_20180620_142400.wav,5683.501089638472
G52_20180623_073000.wav,5947.049475008587
G52_20180618_200000.wav,5638.442196945453
G52_20180621_140800.wav,6778.694921805405
G52_20180619_124800.wav,5842.927610815219
G52_20180621_081600.wav,5691.408952470605
G52_20180620_225600.wav,5490.846613706488
G52_20180621_142400.wav,6068.488623319903
G52_20180622_053000.wav,5537.028427665253
G52_20180621_222400.wav,5825.178649119787
G52_20180620_105600.wav,6349.644068463622
G52_20180622_060000.wav,5902.1497853253695
G52_20180619_234400.wav,5594.653074888249
G52_20180619_142400.wav,5894.693823400544
G52_20180621_215200.wav,5557.863260321803
G52_20180619_161600.wav,5843.330640561296
G52_20180618_204800.wav,4805.5819317837395
G52_20180620_120000.wav,6661.618269831088
G52_20180622_044800.wav,5340.972543493072
G52_20180619_232800.wav,5609.249751179968
