Nombre del Audio,Frecuencia de Corte Óptima
G50_20180619_145600.wav,5564.972184252281
G50_20180623_010400.wav,5761.23265347204
G50_20180624_074500.wav,5826.161794319166
G50_20180619_095200.wav,5257.335924522541
G50_20180622_092000.wav,6404.809540051459
G50_20180622_121600.wav,5822.708624466451
G50_20180621_224000.wav,5634.994826364342
G50_20180624_194500.wav,5706.801601985734
G50_20180623_135200.wav,6029.014297676147
G50_20180624_135200.wav,5506.361668259456
G50_20180624_093600.wav,5424.820981965707
G50_20180623_183000.wav,6173.150070690548
G50_20180620_064500.wav,5490.029937163885
G50_20180619_032800.wav,5411.236854525361
G50_20180623_225600.wav,5762.595256781454
G50_20180624_061500.wav,5769.359283226169
G50_20180619_053000.wav,4955.5136681699205
G50_20180623_184500.wav,6360.108307467568
G50_20180621_080000.wav,5949.141141367799
G50_20180620_010400.wav,5694.298752398821
