Nombre del Audio,Frecuencia de Corte Óptima
G51_20180630_213600.wav,5628.706270106343
G51_20180629_181500.wav,5326.819683980963
G51_20180626_210400.wav,6377.100168896777
G51_20180630_225600.wav,6238.889466852718
G51_20180629_140800.wav,5298.37919615235
G51_20180701_183000.wav,6326.870170082362
G51_20180702_104000.wav,4984.6173466192895
G51_20180701_092000.wav,5204.873555382432
G51_20180630_025600.wav,6182.8642145351905
G51_20180630_044800.wav,6400.258461495181
G51_20180630_171500.wav,5515.118565147512
G51_20180626_013600.wav,6302.536662012873
G51_20180626_015200.wav,6398.392751466508
G51_20180626_051500.wav,6037.243167241011
G51_20180626_200000.wav,6330.234050279512
G51_20180702_140800.wav,5578.697026368541
G51_20180626_234400.wav,6288.398572863578
G51_20180627_001600.wav,6403.529989193225
G51_20180626_121600.wav,5404.2276489882
G51_20180701_054500.wav,5871.200137450093
